Game,Date,TEAM,OPP,Win,Points,WL (H),WL HOME (H),WL LAST 5 (H),WL LAST 8 (H),WL LAST 10 (H),PD (H),PD HOME (H),PD LAST 5 (H),PD LAST 8 (H),PD LAST 10 (H),WL (A),WL AWAY (A),WL LAST 5 (A),WL LAST 8 (A),WL LAST 10 (A),PD (A),PD AWAY (A),PD LAST 5 (A),PD LAST 8 (A),PD LAST 10 (A),Prev WL (H),Prev WL (A),Prev WL HOME (H),Prev WL AWAY (A),AST,TRB,FG%,3P%
2,2008-11-01,0,25,1,7,1.0,0.5,1.0,1.0,1.0,14.0,0.0,14.0,14.0,14.0,0.5,0.5,0.5,0.5,0.5,9.0,0.0,9.0,9.0,9.0,0.5,0.5,0.5,0.5,-2.5,-6.0,-0.022499999999999964,-0.07500000000000001
4,2008-11-07,0,30,1,18,1.0,1.0,1.0,1.0,1.0,9.666666666666666,7.0,9.666666666666666,9.666666666666666,9.666666666666666,0.75,1.0,0.75,0.75,0.75,3.0,7.5,3.0,3.0,3.0,0.5,0.5,0.5,0.5,-3.0,10.833333333333336,-0.037833333333333385,-0.18291666666666662
9,2008-11-15,0,19,0,-12,0.75,1.0,0.6,0.75,0.75,6.0,12.5,3.8,6.0,6.0,0.375,0.3333333333333333,0.4,0.375,0.375,-5.75,-4.333333333333333,-4.0,-5.75,-5.75,0.5,0.5,0.5,0.5,2.375,0.5,0.025625000000000064,0.07762500000000006
11,2008-11-19,0,32,1,4,0.6,0.6666666666666666,0.2,0.5,0.6,1.9,4.333333333333333,-6.4,-0.25,1.9,0.125,0.0,0.2,0.125,0.125,-9.5,-15.25,-10.0,-9.5,-9.5,0.5,0.5,0.5,0.5,2.2749999999999986,2.25,0.01732500000000009,0.14277500000000004
12,2008-11-21,0,3,1,5,0.6363636363636364,0.75,0.2,0.5,0.6,2.090909090909091,4.25,-6.6,-0.75,0.9,0.3,0.0,0.2,0.25,0.3,-5.4,-10.0,-6.4,-6.25,-5.4,0.5,0.5,0.5,0.5,3.781818181818185,4.790909090909096,0.017000000000000015,0.09694545454545461
14,2008-11-26,0,17,1,6,0.6153846153846154,0.8,0.4,0.375,0.5,1.0769230769230769,4.4,-6.8,-4.625,-1.5,0.4375,0.4,0.4,0.5,0.4,-1.0625,-2.9,-1.0,-0.125,-1.5,0.5,0.5,0.5,0.5,-0.23557692307692335,-3.134615384615387,0.016249999999999987,0.06791346153846167
17,2008-12-03,0,15,1,10,0.625,0.8333333333333334,0.6,0.5,0.4,1.1875,4.666666666666667,-0.8,-3.625,-3.7,0.23529411764705882,0.1111111111111111,0.0,0.125,0.1,-6.764705882352941,-8.777777777777779,-11.6,-7.875,-9.7,0.5,0.5,0.5,0.5,4.915441176470589,1.003676470588232,-0.002268382352941134,0.10280147058823536
18,2008-12-05,0,22,1,3,0.6470588235294118,0.8571428571428571,0.6,0.625,0.5,1.7058823529411764,5.428571428571429,0.2,-0.875,-2.6,0.4444444444444444,0.25,0.2,0.25,0.3,-4.5,-10.25,-12.4,-10.375,-8.3,0.5,0.5,0.5,0.5,-1.7058823529411775,-2.0784313725490193,0.02200326797385621,0.05384967320261447
23,2008-12-13,0,6,1,5,0.5909090909090909,0.875,0.4,0.5,0.5,1.3636363636363635,5.125,0.2,1.25,0.2,0.8695652173913043,0.7,1.0,1.0,1.0,13.478260869565217,8.6,17.6,18.875,20.4,0.5,0.5,0.5,0.5,-0.5395256916996054,-2.4169960474308354,-0.02690513833992103,0.05152569169960486
24,2008-12-15,0,3,1,4,0.6086956521739131,0.8888888888888888,0.4,0.625,0.6,1.5217391304347827,5.111111111111111,0.6,2.5,2.1,0.2916666666666667,0.1111111111111111,0.0,0.25,0.3,-4.083333333333333,-6.111111111111111,-9.8,-4.75,-3.6,0.5,0.5,0.5,0.5,2.3949275362318865,2.141304347826086,0.015634057971014526,0.04463586956521748
25,2008-12-17,0,2,0,-3,0.625,0.9,0.6,0.625,0.6,1.625,5.0,1.8,2.5,1.9,0.92,0.9,1.0,1.0,1.0,10.32,9.4,15.0,14.625,14.9,0.5,0.5,0.5,0.5,-0.6950000000000003,-2.853333333333339,-0.023228333333333406,0.01784666666666679
26,2008-12-19,0,10,1,16,0.6,0.8181818181818182,0.6,0.5,0.6,1.44,4.2727272727272725,2.8,0.875,2.1,0.2692307692307692,0.2,0.2,0.25,0.2,-5.576923076923077,-9.533333333333333,-4.8,-8.5,-8.2,0.5,0.5,0.5,0.5,0.6353846153846163,-2.666153846153847,0.003801538461538523,0.07775230769230779
27,2008-12-21,0,9,1,7,0.6153846153846154,0.8333333333333334,0.8,0.5,0.6,2.0,5.25,7.2,2.5,3.3,0.5833333333333334,0.5833333333333334,0.6,0.5,0.5,0.0,-0.25,0.6,-0.25,-0.3,0.5,0.5,0.5,0.5,-0.3397435897435912,1.375,-0.008330128205128129,-0.0006442307692307025
28,2008-12-23,0,23,1,11,0.6296296296296297,0.8461538461538461,0.8,0.625,0.6,2.185185185185185,5.384615384615385,5.8,3.625,3.0,0.10714285714285714,0.07692307692307693,0.2,0.125,0.1,-9.321428571428571,-10.076923076923077,-4.4,-5.5,-5.9,0.5,0.5,0.5,0.5,1.716931216931215,-0.42328042328042415,0.013900793650793608,0.02359788359788373
29,2008-12-27,0,4,1,12,0.6428571428571429,0.8571428571428571,0.8,0.75,0.6,2.5,5.785714285714286,7.0,6.0,3.8,0.4482758620689655,0.1875,0.4,0.375,0.5,-2.586206896551724,-9.25,-4.6,-3.75,-1.8,0.5,0.5,0.5,0.5,1.3891625615763523,-1.3756157635468043,0.008131773399014719,0.0055985221674876295
